Angle,Intensity
13.2984,89
13.3026,101
13.3067,76
13.3109,73
13.3151,80
13.3193,68
13.3235,77
13.3276,103
13.3318,76
13.336,78
13.3402,98
13.3443,91
13.3485,86
13.3527,80
13.3569,91
13.3611,87
13.3652,81
13.3694,92
13.3736,91
13.3778,84
13.3819,90
13.3861,69
13.3903,82
13.3945,80
13.3987,96
13.4028,96
13.407,97
13.4112,88
13.4154,76
13.4195,91
13.4237,96
13.4279,88
13.4321,74
13.4363,81
13.4404,79
13.4446,89
13.4488,79
13.453,86
13.4571,81
13.4613,75
13.4655,98
13.4697,80
13.4739,91
13.478,96
13.4822,100
13.4864,73
13.4906,82
13.4947,69
13.4989,80
13.5031,86
13.5073,68
13.5115,81
13.5156,85
13.5198,78
13.524,73
13.5282,91
13.5323,84
13.5365,91
13.5407,77
13.5449,106
13.5491,91
13.5532,77
13.5574,96
13.5616,73
13.5658,87
13.5699,81
13.5741,86
13.5783,90
13.5825,86
13.5867,75
13.5908,112
13.595,82
13.5992,93
13.6034,80
13.6075,86
13.6117,87
13.6159,70
13.6201,88
13.6243,88
13.6284,93
13.6326,78
13.6368,92
13.641,65
13.6451,72
13.6493,78
13.6535,89
13.6577,81
13.6619,91
13.666,90
13.6702,82
13.6744,70
13.6786,87
13.6827,78
13.6869,96
13.6911,96
13.6953,70
13.6995,77
13.7036,101
13.7078,78
13.712,96
13.7162,87
13.7203,79
13.7245,69
13.7287,89
13.7329,87
13.7371,91
13.7412,80
13.7454,66
13.7496,78
13.7538,89
13.7579,84
13.7621,90
13.7663,79
13.7705,108
13.7747,93
13.7788,73
13.783,79
13.7872,82
13.7914,97
13.7955,81
13.7997,73
13.8039,86
13.8081,81
13.8123,90
13.8164,88
13.8206,82
13.8248,86
13.829,104
13.8331,89
13.8373,82
13.8415,87
13.8457,81
13.8499,92
13.854,90
13.8582,82
13.8624,76
13.8666,85
13.8707,80
13.8749,102
13.8791,74
13.8833,86
13.8875,106
13.8916,94
13.8958,70
13.9,94
13.9042,108
13.9083,82
13.9125,92
13.9167,86
13.9209,89
13.9251,77
13.9292,76
13.9334,74
13.9376,86
13.9418,82
13.9459,73
13.9501,84
13.9543,91
13.9585,93
13.9627,89
13.9668,96
13.971,69
13.9752,84
13.9794,79
13.9835,87
13.9877,82
13.9919,102
13.9961,75
14.0003,88
14.0044,96
14.0086,91
14.0128,86
14.017,96
14.0211,91
14.0253,77
14.0295,94
14.0337,74
14.0379,90
14.042,92
14.0462,87
14.0504,88
14.0546,87
14.0587,100
14.0629,94
14.0671,81
14.0713,80
14.0755,86
14.0796,88
14.0838,94
14.088,89
14.0922,96
14.0963,82
14.1005,100
14.1047,81
14.1089,84
14.1131,75
14.1172,88
14.1214,76
14.1256,69
14.1298,89
14.134,96
14.1381,97
14.1423,87
14.1465,63
14.1507,93
14.1548,80
14.159,100
14.1632,89
14.1674,84
14.1716,73
14.1757,80
14.1799,79
14.1841,86
14.1883,89
14.1924,98
14.1966,75
14.2008,81
14.205,122
14.2092,86
14.2133,97
14.2175,94
14.2217,84
14.2259,88
14.23,90
14.2342,72
14.2384,84
14.2426,86
14.2468,92
14.2509,90
14.2551,85
14.2593,74
14.2635,90
14.2676,69
14.2718,90
14.276,76
14.2802,82
14.2844,80
14.2885,79
14.2927,76
14.2969,85
14.3011,81
14.3052,91
14.3094,79
14.3136,79
14.3178,99
14.322,96
14.3261,109
14.3303,74
14.3345,109
14.3387,125
14.3428,92
14.347,79
14.3512,84
14.3554,100
14.3596,74
14.3637,84
14.3679,81
14.3721,94
14.3763,87
14.3804,82
14.3846,75
14.3888,104
14.393,78
14.3972,97
14.4013,88
14.4055,100
14.4097,70
14.4139,89
14.418,76
14.4222,102
14.4264,87
14.4306,84
14.4348,92
14.4389,98
14.4431,101
14.4473,76
14.4515,92
14.4556,96
14.4598,82
14.464,90
14.4682,77
14.4724,98
14.4765,77
14.4807,74
14.4849,82
14.4891,90
14.4932,90
14.4974,80
14.5016,69
14.5058,92
14.51,92
14.5141,103
14.5183,96
14.5225,67
14.5267,75
14.5308,94
